brand,model,price_usd,ram_gb,storage_gb,camera_mp,battery_mah,display_size_inch,charging_watt,5g_support,os,processor,rating,release_month,year
Oppo,A98 111,855.0,16.0,128.0,108.0,6000.0,6.6,33.0,Yes,Android,Helio G99,3.8,February,2025.0
Realme,11 Pro+ 843,618.0,6.0,128.0,64.0,4500.0,6.9,100.0,Yes,Android,Tensor G4,4.4,August,2025.0
Xiaomi,Redmi Note 14 Pro 461,258.0,16.0,64.0,64.0,4000.0,21.370000954630196,,Yes,Android,A18 Pro,4.1,March,2025.0
Vivo,V29e 744,837.0,6.0,1401.2196778897337,48.0,4500.0,,65.0,Yes,Android,Exynos 2400,4.1,ERR,2025.0
Apple,iPhone 16 Pro Max 927,335.0,12.0,128.0,200.0,5000.0,6.9,100.0,Yes,iOS,Dimensity 9300,3.5,February,2025.0
OnePlus,Nord 4 295,2846.0324357629806,16.0,,200.0,5000.0,6.2,286.50413115819,No,Android,Exynos 2400,3.7,May,2025.0
Infinix,GT 20 Pro 112,418.0,12.0,256.0,64.0,6000.0,6.9,44.0,No,Android,Exynos 2400,4.1,April,2025.0
ERR,iPhone 16 Pro Max 232,1447.0,16.0,,64.0,4500.0,6.7,33.0,Yes,iOS,ERR,4.7,November,2025.0
Infinix,Hot 40 111,1354.0,6.0,1024.0,12.0,5500.0,5.7,18.0,Yes,Android,Tensor G4,4.0,July,2025.0
Realme,GT 7 Pro 668,311.0,8.0,1024.0,50.0,14296.293804723486,6.9,44.0,Yes,ERR,Snapdragon 6 Gen 1,4.4,March,2025.0
Samsung,Galaxy Z Fold6 423,1093.0,8.0,1024.0,200.0,4000.0,5.6,,ERR,ERR,Snapdragon 8 Gen 3,4.1,April,2025.0
Apple,iPhone 14 397,1077.0,8.0,128.0,48.0,6000.0,7.1,120.0,No,iOS,Snapdragon 8 Gen 3,4.4,August,2025.0
Vivo,V30 400,223.0,8.0,512.0,200.0,5500.0,6.3,18.0,Yes,Android,Helio G99,4.9,December,2025.0
Realme,Narzo 70 620,1192.0,12.0,256.0,12.0,4000.0,6.2,33.0,No,Android,Snapdragon 8 Gen 3,4.7,October,2025.0
Xiaomi,Poco F6 497,1126.0,8.0,64.0,48.0,4000.0,7.2,33.0,Yes,Android,Exynos 2400,4.7,July,2025.0
Xiaomi,Poco X6 Pro 400,277.0,6.0,256.0,108.0,4500.0,7.1,18.0,No,Android,Helio G99,4.0,May,2025.0
Infinix,Hot 40 658,1467.0,6.0,128.0,48.0,6000.0,6.3,18.0,No,Android,Snapdragon 6 Gen 1,3.8,March,2025.0
Samsung,Galaxy Z Fold6 163,1339.0,6.0,512.0,200.0,4500.0,6.2,120.0,Yes,Android,Snapdragon 7+ Gen 2,4.7,May,2025.0
OnePlus,Nord CE 4 Lite 503,642.0,8.0,256.0,200.0,5500.0,7.1,33.0,No,Android,Exynos 2400,4.2,April,2025.0
OnePlus,OnePlus 12 729,127.0,16.0,256.0,200.0,5500.0,5.7,44.0,Yes,Android,Snapdragon 7+ Gen 2,5.0,January,2025.0
Samsung,Galaxy Z Fold6 195,1247.0,6.0,1024.0,12.0,5000.0,5.6,65.0,No,Android,Helio G99,3.8,January,2025.0
Google,Pixel 9 Pro 845,1392.0,8.0,128.0,108.0,4500.0,7.1,44.0,Yes,Android,Tensor G4,3.8,October,2025.0
Apple,iPhone 14 328,868.0,4.0,512.0,12.0,4500.0,7.2,44.0,No,iOS,Snapdragon 6 Gen 1,4.6,December,2025.0
Realme,GT Neo 6 18,1404.0,16.0,1024.0,50.0,4000.0,6.6,209.30985508589302,ERR,ERR,Tensor G4,4.7,April,2025.0
Google,Pixel 7a 954,1074.0,16.0,64.0,12.0,5500.0,6.0,100.0,No,Android,Exynos 2400,4.0,June,2025.0
Samsung,ERR,238.0,16.0,1024.0,108.0,5000.0,6.1,33.0,No,ERR,Snapdragon 8 Gen 3,5.0,November,2025.0
Infinix,Note 40 Pro 925,882.0,4.0,128.0,200.0,4000.0,6.6,44.0,Yes,Android,Exynos 2400,4.1,April,2025.0
Infinix,Hot 40 967,136.0,4.0,64.0,48.0,5000.0,5.6,65.0,Yes,Android,Snapdragon 7+ Gen 2,4.6,June,2025.0
Realme,GT 7 Pro 119,627.0,8.0,512.0,50.0,6000.0,6.3,44.0,Yes,Android,Tensor G4,4.6,March,2025.0
Vivo,X100 Pro 546,3061.3759093475046,4.0,512.0,200.0,4500.0,6.3,,No,Android,Tensor G4,3.9,April,2025.0
Samsung,Galaxy M55 471,,6.0,256.0,108.0,6000.0,6.8,18.0,Yes,Android,Tensor G4,,January,2025.0
Vivo,Y100A 290,1387.0,6.0,,108.0,4000.0,6.5,65.0,No,ERR,Snapdragon 6 Gen 1,4.9,January,2025.0
Xiaomi,Poco F6 169,657.0,4.0,512.0,50.0,4000.0,7.2,33.0,No,Android,Snapdragon 8 Gen 3,4.7,October,2025.0
Apple,iPhone 14 43,1058.0,4.0,1477.4880719532057,50.0,4500.0,,33.0,No,iOS,Snapdragon 8 Gen 3,4.4,ERR,2025.0
Infinix,GT 20 Pro 383,192.0,4.0,64.0,12.0,5500.0,5.7,33.0,No,Android,Snapdragon 7+ Gen 2,3.7,September,2025.0
Oppo,Reno 11 961,1451.0,6.0,128.0,200.0,5500.0,6.9,120.0,Yes,Android,Tensor G4,4.2,September,2025.0
